,PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,FROM_YEAR,TO_YEAR,PTS,REB,AST,STATS_TIMEFRAME
318,1628997,Martin,Caleb,caleb-martin,1610612748,heat,0,Miami,Heat,MIA,16,F,6-5,205,Nevada,USA,,,,1.0,2019,2024,10.0,4.4,2.2,Season
319,1628998,Martin,Cody,cody-martin,1610612766,hornets,0,Charlotte,Hornets,CHA,11,F,6-6,205,Nevada,USA,2019.0,2.0,36.0,1.0,2019,2024,7.5,3.9,3.7,Season
328,204456,McConnell,T.J.,tj-mcconnell,1610612754,pacers,0,Indiana,Pacers,IND,9,G,6-1,190,Arizona,USA,2015.0,0.0,,1.0,2015,2024,10.2,2.7,5.5,Season
335,1629001,Melton,De'Anthony,deanthony-melton,1610612755,sixers,0,Philadelphia,76ers,PHI,8,G,6-3,200,Southern California,USA,2018.0,2.0,46.0,1.0,2018,2024,11.1,3.7,3.0,Season
359,1628420,Morris,Monte,monte-morris,1610612750,timberwolves,0,Minnesota,Timberwolves,MIN,23,G,6-2,183,Iowa State,USA,2017.0,2.0,51.0,1.0,2017,2024,5.0,1.7,2.1,Season
370,1629614,Nembhard,Andrew,andrew-nembhard,1610612754,pacers,0,Indiana,Pacers,IND,2,G-F,6-4,191,Gonzaga,Canada,2022.0,2.0,31.0,1.0,2022,2024,9.2,2.1,4.1,Season
380,1626220,O'Neale,Royce,royce-oneale,1610612756,suns,0,Phoenix,Suns,PHX,00,F,6-6,226,Baylor,USA,,,,1.0,2017,2024,7.7,4.8,2.8,Season
403,1629007,Porter,Jontay,jontay-porter,0,,0,,,,,C-F,6-10,240,Missouri,USA,,,,,2019,2023,4.4,3.2,2.3,Season
404,1641854,Porter Jr.,Craig,craig-porter-jr,1610612739,cavaliers,0,Cleveland,Cavaliers,CLE,9,G,6-1,180,Wichita State,USA,,,,1.0,2023,2024,5.6,2.1,2.3,Season
415,1630202,Pritchard,Payton,payton-pritchard,1610612738,celtics,0,Boston,Celtics,BOS,11,G,6-1,195,Oregon,USA,2020.0,1.0,26.0,1.0,2020,2024,9.6,3.2,3.4,Season
430,1626196,Richardson,Josh,josh-richardson,1610612748,heat,0,Miami,Heat,MIA,0,G,6-5,200,Tennessee,USA,2015.0,2.0,40.0,1.0,2015,2024,9.9,2.8,2.4,Season
438,201565,Rose,Derrick,derrick-rose,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,23,G,6-3,200,Memphis,USA,2008.0,1.0,1.0,1.0,2008,2024,8.0,1.9,3.3,Season
448,203967,Saric,Dario,dario-saric,1610612744,warriors,0,Golden State,Warriors,GSW,20,F-C,6-10,225,Anadolu Efes,Croatia,2014.0,1.0,12.0,1.0,2016,2024,8.0,4.4,2.3,Season
450,1631204,Sasser,Marcus,marcus-sasser,1610612765,pistons,0,Detroit,Pistons,DET,25,G,6-2,195,Houston,USA,2023.0,1.0,25.0,1.0,2023,2024,8.3,1.8,3.3,Season
463,1628424,Simmons,Kobi,kobi-simmons,0,,0,,,,,G,6-5,180,Arizona,USA,,,,,2017,2023,5.0,1.8,3.0,Season
465,1630285,Simpson,Zavier,zavier-simpson,0,,0,,,,,G,6-0,190,Michigan,USA,,,,,2021,2023,6.0,2.9,3.6,Season
475,1628372,Smith Jr.,Dennis,dennis-smith-jr,1610612751,nets,0,Brooklyn,Nets,BKN,4,G,6-3,205,North Carolina State,USA,2017.0,1.0,9.0,1.0,2017,2024,6.6,2.9,3.6,Season
549,1629684,Williams,Grant,grant-williams,1610612766,hornets,0,Charlotte,Hornets,CHA,2,F,6-6,236,Tennessee,USA,2019.0,1.0,22.0,1.0,2019,2024,10.3,4.2,2.3,Season
567,1626153,Wright,Delon,delon-wright,1610612748,heat,0,Miami,Heat,MIA,4,G,6-5,185,Utah,USA,2015.0,1.0,20.0,1.0,2015,2024,4.5,1.8,2.5,Season
136,201142,Durant,Kevin,kevin-durant,1610612756,suns,0,Phoenix,Suns,PHX,35,F,6-11,240,Texas,USA,2007.0,1.0,2.0,1.0,2007,2024,27.1,6.6,5.0,Season
